"","generic","english","brandname","class_indication","searchterm"
"474","levodopa, dekarboksylaasin estäjä ja COMT-estäjä","levodopa, a decarboxylase inhibitor and a COMT inhibitor","Stalevo|Stalevo|Pentiro|Levodopa/Carbidopa/Entacapone Orion|Levodopa/Carbidopa/Entacapone Accord|Stalevo|Stalevo|Levodopa/Carbidopa/Entacapone Accord|Pentiro|Levodopa/Carbidopa/Entacapone Orion|Stalevo|Stalevo|Levodopa/Carbidopa/Entacapone Accord|Pentiro|Levodopa/Carbidopa/Entacapone Orion|Stalevo|Stalevo|Levodopa/Carbidopa/Entacapone Accord|Levodopa/Carbidopa/Entacapone Orion|Levodopa/Carbidopa/Entacapone Orion|Stalevo|Stalevo|Levodopa/Carbidopa/Entacapone Accord|Pentiro|Stalevo|Stalevo|Levodopa/Carbidopa/Entacapone Orion|Levodopa/Carbidopa/Entacapone Accord|Levodopa/Carbidopa/Entacapone Orion|Pentiro|Stalevo",NA,"levodopa, dekarboksylaasin estäjä ja comt-estäjä|levodopa, a decarboxylase inhibitor and a comt inhibitor|stalevo|stalevo|pentiro|levodopa/carbidopa/entacapone orion|levodopa/carbidopa/entacapone accord|stalevo|stalevo|levodopa/carbidopa/entacapone accord|pentiro|levodopa/carbidopa/entacapone orion|stalevo|stalevo|levodopa/carbidopa/entacapone accord|pentiro|levodopa/carbidopa/entacapone orion|stalevo|stalevo|levodopa/carbidopa/entacapone accord|levodopa/carbidopa/entacapone orion|levodopa/carbidopa/entacapone orion|stalevo|stalevo|levodopa/carbidopa/entacapone accord|pentiro|stalevo|stalevo|levodopa/carbidopa/entacapone orion|levodopa/carbidopa/entacapone accord|levodopa/carbidopa/entacapone orion|pentiro|stalevo"
"475","lamivudiini ja abakaviiri","lamivudine and abacavir","Kivexa|Kivexa|Abacavir/Lamivudine Stada|Abacavir/Lamivudin Mylan","antiviral","lamivudiini ja abakaviiri|lamivudine and abacavir|kivexa|kivexa|abacavir/lamivudine stada|abacavir/lamivudin mylan"
"476","lamivudiini ja dolutegraviiri","lamivudine and dolutegravir","Dovato","antiviral","lamivudiini ja dolutegraviiri|lamivudine and dolutegravir|dovato"
"477","lamivudiini, abakaviiri ja dolutegraviiri","lamivudine, abacavir and dolutegravir","Triumeq|Triumeq|Triumeq","antiviral","lamivudiini, abakaviiri ja dolutegraviiri|lamivudine, abacavir and dolutegravir|triumeq|triumeq|triumeq"
"478","lamivudiini, tenofoviiridisoproksiili ja doraviriini","lamivudine, tenofovir disoproxil and doravirin","Delstrigo","antiviral","lamivudiini, tenofoviiridisoproksiili ja doraviriini|lamivudine, tenofovir disoproxil and doravirin|delstrigo"
"479","lidokaiini","lidocaine","Lidokain Mylan|Lidocain|Lidocaine Accord|Lidocaine Baxter|Lidocaine Baxter|Lidocaine Baxter|Lidocaine Baxter|Lidocaine Accord|Lidocaine Baxter",NA,"lidokaiini|lidocaine|lidokain mylan|lidocain|lidocaine accord|lidocaine baxter|lidocaine baxter|lidocaine baxter|lidocaine baxter|lidocaine accord|lidocaine baxter"
"480","linetsolidi","linezolid","Zyvoxid|Linezolid Accord|Linezolid Mylan|Zyvoxid|Linezolid Sandoz|Linezolid Accord|Zolic|Linezolid Krka",NA,"linetsolidi|linezolid|zyvoxid|linezolid accord|linezolid mylan|zyvoxid|linezolid sandoz|linezolid accord|zolic|linezolid krka"
"481","lipegfilgrastiimi","lipegfilgrastim","Lonquex|Lonquex|Lonquex|Lonquex",NA,"lipegfilgrastiimi|lipegfilgrastim|lonquex|lonquex|lonquex|lonquex"
"482","letermoviiri","letermovir","Prevymis","antiviral","letermoviiri|letermovir|prevymis"
"483","lopinaviiri ja ritonaviiri","lopinavir and ritonavir","Kaletra|Kaletra|Kaletra|Kaletra|Kaletra","antiviral","lopinaviiri ja ritonaviiri|lopinavir and ritonavir|kaletra|kaletra|kaletra|kaletra|kaletra"
"484","nevirapiini","nevirapine","Viramune|Viramune|Nevirapine Mylan|Nevirapine Accord","antiviral","nevirapiini|nevirapine|viramune|viramune|nevirapine mylan|nevirapine accord"
"485","lisdeksamfetamiini","lisdexamphetamine","Elvanse|Elvanse|Elvanse|Elvanse|Elvanse Adult|Elvanse Adult|Elvanse Adult|Elvanse Adult|Elvanse Adult|Elvanse Adult",NA,"lisdeksamfetamiini|lisdexamphetamine|elvanse|elvanse|elvanse|elvanse|elvanse adult|elvanse adult|elvanse adult|elvanse adult|elvanse adult|elvanse adult"
"486","ombitasviiri, paritapreviiri ja ritonaviiri","ombitasvir, paritaprevir and ritonavir","Viekirax","antiviral","ombitasviiri, paritapreviiri ja ritonaviiri|ombitasvir, paritaprevir and ritonavir|viekirax"
"487","oseltamiviiri","oseltamivir","Tamiflu|Tamiflu|Tamiflu|Tamiflu|Tamiflu","antiviral","oseltamiviiri|oseltamivir|tamiflu|tamiflu|tamiflu|tamiflu|tamiflu"
"488",NA,"Lomitapide","Juxtapid",NA,"lomitapide|juxtapid"
"489",NA,"Oseltamivir","Tamiflu","antiviral","oseltamivir|tamiflu"
"490","ribaviriini","ribavirin","Rebetol","antiviral","ribaviriini|ribavirin|rebetol"
"491","rilpiviriini","rilpivirin","Edurant|Edurant","antiviral","rilpiviriini|rilpivirin|edurant|edurant"
"492","ritonaviiri","ritonavir","Norvir|Norvir|Ritonavir Mylan","antiviral","ritonaviiri|ritonavir|norvir|norvir|ritonavir mylan"
"493","sakinaviiri","saquinavir","Invirase","antiviral","sakinaviiri|saquinavir|invirase"
"494","tenofoviirialafenamidi","tenofovir alphenamide","Vemlidy|Vemlidy|Vemlidy","antiviral","tenofoviirialafenamidi|tenofovir alphenamide|vemlidy|vemlidy|vemlidy"
"495","tenofoviiridisoproksiili","tenofovir disoproxil","Viread|Viread|Tenofovir disoproxil STADA|Tenofovir Disoproxil Mylan|Tenofovir Disoproxil Sandoz|Tenofovir Disoproxil Accord","antiviral","tenofoviiridisoproksiili|tenofovir disoproxil|viread|viread|tenofovir disoproxil stada|tenofovir disoproxil mylan|tenofovir disoproxil sandoz|tenofovir disoproxil accord"
"496","tenofoviiridisoproksiili ja emtrisitabiini","tenofovir disoproxil and emtricitabine","Truvada|Truvada|Emtricitabine/Tenofovir Disoproxil Teva|Emtricitabine/Tenofovir Disoproxil Mylan|Truvada|Emtricitabine/Tenofovir Disoproxil Krka|Truvada|Emtricitabine/Tenofovir Disoproxil Stada","antiviral","tenofoviiridisoproksiili ja emtrisitabiini|tenofovir disoproxil and emtricitabine|truvada|truvada|emtricitabine/tenofovir disoproxil teva|emtricitabine/tenofovir disoproxil mylan|truvada|emtricitabine/tenofovir disoproxil krka|truvada|emtricitabine/tenofovir disoproxil stada"
"497","valasikloviiri","valaciclovir","Flushnil|Valaciclovir Bluefish|Valaciclovir Bluefish|Valaciclovir Bluefish|Valaciclovir Bluefish|Valaciclovir Ratiopharm|Valtrex|Valaciclovir Ratiopharm|Valtrex|Valaciclovir Ratiopharm|Valtrex|Flushnil|Valaciclovir Ratiopharm|Valavir|Valavir|Flushnil|Valaciclovir Ratiopharm|Valavir","antiviral","valasikloviiri|valaciclovir|flushnil|valaciclovir bluefish|valaciclovir bluefish|valaciclovir bluefish|valaciclovir bluefish|valaciclovir ratiopharm|valtrex|valaciclovir ratiopharm|valtrex|valaciclovir ratiopharm|valtrex|flushnil|valaciclovir ratiopharm|valavir|valavir|flushnil|valaciclovir ratiopharm|valavir"
"498",NA,"Valacyclovir","Valtrex","antiviral","valacyclovir|valtrex"
"499","valgansikloviiri","valganciclovir","Valcyte|Valganciclovir Accord|Valganciclovir Orion","antiviral","valgansikloviiri|valganciclovir|valcyte|valganciclovir accord|valganciclovir orion"
"500",NA,"vidarabin","vira","antiviral","vidarabin|vira"
"501",NA,"Aspirin","Astrix|primaspan|asa|asasantin","anticoagulant","aspirin|astrix|primaspan|asa|asasantin"
"502","atenololi","atenolol","Atenblock|Atenblock|Tenoprin|Atenolol Sandoz|Atenblock|Tenoprin|Atenolol Sandoz|Atenblock|Tenoprin","beta-blocker","atenololi|atenolol|atenblock|atenblock|tenoprin|atenolol sandoz|atenblock|tenoprin|atenolol sandoz|atenblock|tenoprin"
"503","mannitoli","mannitol","Mannitol Braun|Mannitol Braun|Mannitol Baxter Viaflo|Mannitol Baxter Viaflo",NA,"mannitoli|mannitol|mannitol braun|mannitol braun|mannitol baxter viaflo|mannitol baxter viaflo"
"504","maraviroki","maraviroc","CELSENTRI|CELSENTRI",NA,"maraviroki|maraviroc|celsentri|celsentri"
"505",NA,"Atenolol","Tenormin","beta-blocker","atenolol|tenormin"
"506","meflokiini","mefloquine","Lariam|Lariam",NA,"meflokiini|mefloquine|lariam|lariam"
"507","melatoniini","melatonin","Circadin|Circadin|Mecastrin|Circadin",NA,"melatoniini|melatonin|circadin|circadin|mecastrin|circadin"
"508","meloksikaami","Meloxicam","Meloxicam Orion|Meloxicam Orion|Meloxicam Orion|Mobic|Mobic|Meloxicam Orion|Meloxicam Orion|Mobic|Mobic",NA,"meloksikaami|meloxicam|meloxicam orion|meloxicam orion|meloxicam orion|mobic|mobic|meloxicam orion|meloxicam orion|mobic|mobic"
"509",NA,"betaxolol","kerlon","beta-blocker","betaxolol|kerlon"
"510","melfalaani","melphalan","Alkeran|Alkeran|Melphalan Macure",NA,"melfalaani|melphalan|alkeran|alkeran|melphalan macure"
"511","memantiini","memantine","Ebixa|Ebixa|Memantin Orion|Memantine Merz|Marbodin|Memantine Accord|Memantine Ratiopharm|Adaxor|Marbodin|Mentixa|Marbodin|Memantin Orion|Memantine Accord|Memantin Orion|Memantine Merz|Memantine Sandoz|Memantine Ratiopharm|Memantin Orion|Mentixa|Mentixa|Ebixa|Memantin Stada|Memantine Merz|Mentixa|Mentixa|Memantin Orion|Marbodin|Ebixa|Ebixa|Memantine Sandoz|Memantine Ratiopharm|Memantine Accord|Memantin Orion|Memantine Ratiopharm|Memantine Accord|Adaxor|Marbodin|Memantine Merz|Memantine Merz|Memantin Orion|Memantine Merz Aloituspakkaus|Memantine Ratiopharm Aloituspakkaus",NA,"memantiini|memantine|ebixa|ebixa|memantin orion|memantine merz|marbodin|memantine accord|memantine ratiopharm|adaxor|marbodin|mentixa|marbodin|memantin orion|memantine accord|memantin orion|memantine merz|memantine sandoz|memantine ratiopharm|memantin orion|mentixa|mentixa|ebixa|memantin stada|memantine merz|mentixa|mentixa|memantin orion|marbodin|ebixa|ebixa|memantine sandoz|memantine ratiopharm|memantine accord|memantin orion|memantine ratiopharm|memantine accord|adaxor|marbodin|memantine merz|memantine merz|memantin orion|memantine merz aloituspakkaus|memantine ratiopharm aloituspakkaus"
"512","bisoprololi","bisoprolol","Orloc|Bisoprolol SanoSwiss|Emconcor Chf|Bisoprolol Ratiopharm|Bisoprolol Accord|Bisoprolol Krka|Bisoprolol Krka|Bisoprolol Accord|Bisoprolol Vitabalans|Emconcor|Emconcor|Bisoprolol Sandoz|Bisoprolol Vitabalans|Emconcor Chf|Emconcor Chf|Bisoprolol Krka|Bisoprolol Ratiopharm|Bisoprolol Ratiopharm|Bisoproact|Bisoproact|Bisoprolol Krka|Bisoprolol Orion|Bisoprolol Accord|Bisoprolol Accord|Bisoprolol Sandoz|Bisoprolol Sandoz|Bisoprolol Ratiopharm|Bisoprolol Orion|Orloc|Orloc|Bisoprolol Ratiopharm|Bisoprolol SanoSwiss|Bisoprolol SanoSwiss|Emconcor Chf|Emconcor Chf|Bisoprolol Ratiopharm|Bisoprolol Sandoz|Bisoprolol Krka|Bisoprolol Vitabalans|Bisoprolol Sandoz|Emconcor|Emconcor|Bisoprolol Accord|Bisoprolol Vitabalans|Bisoprolol Krka|Bisoprolol Accord","beta-blocker","bisoprololi|bisoprolol|orloc|bisoprolol sanoswiss|emconcor chf|bisoprolol ratiopharm|bisoprolol accord|bisoprolol krka|bisoprolol krka|bisoprolol accord|bisoprolol vitabalans|emconcor|emconcor|bisoprolol sandoz|bisoprolol vitabalans|emconcor chf|emconcor chf|bisoprolol krka|bisoprolol ratiopharm|bisoprolol ratiopharm|bisoproact|bisoproact|bisoprolol krka|bisoprolol orion|bisoprolol accord|bisoprolol accord|bisoprolol sandoz|bisoprolol sandoz|bisoprolol ratiopharm|bisoprolol orion|orloc|orloc|bisoprolol ratiopharm|bisoprolol sanoswiss|bisoprolol sanoswiss|emconcor chf|emconcor chf|bisoprolol ratiopharm|bisoprolol sandoz|bisoprolol krka|bisoprolol vitabalans|bisoprolol sandoz|emconcor|emconcor|bisoprolol accord|bisoprolol vitabalans|bisoprolol krka|bisoprolol accord"
"513","meningokokkibakteeri A, C, Y, W-135, tetravalentti puhdistettu polysakkaridi antigeeniin konjugoitu","Meningococcal bacterium A, C, Y, W-135, tetravalent purified polysaccharide antigen conjugated","Nimenrix",NA,"meningokokkibakteeri a, c, y, w-135, tetravalentti puhdistettu polysakkaridi antigeeniin konjugoitu|meningococcal bacterium a, c, y, w-135, tetravalent purified polysaccharide antigen conjugated|nimenrix"
"514","mepolitsumabi","mepolizumab","Nucala|Nucala",NA,"mepolitsumabi|mepolizumab|nucala|nucala"
"515","meropeneemi","meropenem","Meropenem Stada|Meropenem Sun|Meropenem Stada|Meropenem Sun",NA,"meropeneemi|meropenem|meropenem stada|meropenem sun|meropenem stada|meropenem sun"
"516","mesalatsiini","mesalazine","Asacol|Asacol",NA,"mesalatsiini|mesalazine|asacol|asacol"
"517","mesna","mesna","Uromitexan|Uromitexan|Uromitexan|Uromitexan|Uromitexan|Uromitexan",NA,"mesna|mesna|uromitexan|uromitexan|uromitexan|uromitexan|uromitexan|uromitexan"
"518","bisoprololi ja tiatsidit","bisoprolol","Orloc Comp|Bisoprolol Comp Ratiopharm|Emconcor Comp|Orloc Comp|Bisoprolol Comp Ratiopharm|Emconcor Comp|Emconcor Comp","beta-blocker","bisoprololi ja tiatsidit|bisoprolol|orloc comp|bisoprolol comp ratiopharm|emconcor comp|orloc comp|bisoprolol comp ratiopharm|emconcor comp|emconcor comp"
"519","bisoprololi ja E186:J186","bisoprolol","Emconcor Comp","beta-blocker","bisoprololi ja e186:j186|bisoprolol|emconcor comp"
"520",NA,"Bisoprolol","Zebeta|bisoproact|emconcor","beta-blocker","bisoprolol|zebeta|bisoproact|emconcor"
"521","karvediloli","carvedilol","Carvedilol Stada|Carvedilol Hexal|Carvedilol Stada|Cardiol|Carvedilol Orion|Carveratio|Carvedilol Orion|Carvedilol Stada|Carvedilol Stada|Carveratio|Carvedilol Stada|Carvedilol Hexal|Cardiol|Cardiol|Carveratio|Carvedilol Orion|Carvedilol Orion|Carvedilol Stada|Carveratio|Carvedilol Stada|Carvedilol Orion|Carvedilol Hexal|Carvedilol Orion","beta-blocker","karvediloli|carvedilol|carvedilol stada|carvedilol hexal|carvedilol stada|cardiol|carvedilol orion|carveratio|carvedilol orion|carvedilol stada|carvedilol stada|carveratio|carvedilol stada|carvedilol hexal|cardiol|cardiol|carveratio|carvedilol orion|carvedilol orion|carvedilol stada|carveratio|carvedilol stada|carvedilol orion|carvedilol hexal|carvedilol orion"
"522",NA,"Carvedilol","Coreg","beta-blocker","carvedilol|coreg"
"523","esmololi","esmolol","Brevibloc|Brevibloc|Esmocard","beta-blocker","esmololi|esmolol|brevibloc|brevibloc|esmocard"
"524",NA,"Metoclopramide","Reglan","beta-blocker","metoclopramide|reglan"
"525",NA,"Methadone","Dolophine",NA,"methadone|dolophine"
"526","metenamiini","methenamine","Hiprex|Hipeksal",NA,"metenamiini|methenamine|hiprex|hipeksal"
"527","metoprololi","metoprolol","Metohexal|Metohexal|Metoprolol Ratiopharm|Metoprolol Orion|Metomylan|Metoprolol Krka|Spesicor Dos|Seloken Zoc|Spesicor Dos|Metoprolol Krka|Metohexal|Metohexal|Metoprolol Ratiopharm|Metoprolol Orion|Metoprolol Orion|Metomylan|Metohexal|Spesicor Dos|Seloken Zoc|Seloken Zoc|Metoprolol Krka|Metoprolol Krka|Spesicor Dos|Spesicor Dos|Metohexal|Metoprolol Ratiopharm|Metohexal|Metoprolol Orion|Metoprolol Orion|Metoprolol Krka|Metoprolol Krka|Metohexal|Metohexal|Metoprolol Ratiopharm|Metoprolol Ratiopharm|Metoprolol Krka|Metoprolol Orion|Metoprolol Orion|Metomylan|Metoprolol Krka|Seloken Zoc|Seloken Zoc|Metohexal|Seloken|Seloken|Metopocor","beta-blocker","metoprololi|metoprolol|metohexal|metohexal|metoprolol ratiopharm|metoprolol orion|metomylan|metoprolol krka|spesicor dos|seloken zoc|spesicor dos|metoprolol krka|metohexal|metohexal|metoprolol ratiopharm|metoprolol orion|metoprolol orion|metomylan|metohexal|spesicor dos|seloken zoc|seloken zoc|metoprolol krka|metoprolol krka|spesicor dos|spesicor dos|metohexal|metoprolol ratiopharm|metohexal|metoprolol orion|metoprolol orion|metoprolol krka|metoprolol krka|metohexal|metohexal|metoprolol ratiopharm|metoprolol ratiopharm|metoprolol krka|metoprolol orion|metoprolol orion|metomylan|metoprolol krka|seloken zoc|seloken zoc|metohexal|seloken|seloken|metopocor"
"528",NA,"Metoprolol","Lopressor|spesicor","beta-blocker","metoprolol|lopressor|spesicor"
"529","metoksipolyetyleeniglykoliepoetiini beeta","methoxy polyethylene glycol epoetin beta","Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera|Mircera",NA,"metoksipolyetyleeniglykoliepoetiini beeta|methoxy polyethylene glycol epoetin beta|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera|mircera"
"530","metyyliaminolevulinaatti","methylaminolevulinate","Metvix|Metvix|Metvix",NA,"metyyliaminolevulinaatti|methylaminolevulinate|metvix|metvix|metvix"
"531","metyylifenidaatti","methylphenidate","Concerta|Methylphenidate Sandoz|Methylphenidate Mylan|Concerta|Methylphenidate Mylan|Methylphenidate Sandoz|Concerta|Methylphenidate Mylan|Methylphenidate Sandoz|Concerta|Methylphenidate Sandoz|Methylphenidate Mylan|Methylphenidate Stada|Methylphenidate Stada|Ritalin|Methylphenidate Stada|Methylphenidate Stada",NA,"metyylifenidaatti|methylphenidate|concerta|methylphenidate sandoz|methylphenidate mylan|concerta|methylphenidate mylan|methylphenidate sandoz|concerta|methylphenidate mylan|methylphenidate sandoz|concerta|methylphenidate sandoz|methylphenidate mylan|methylphenidate stada|methylphenidate stada|ritalin|methylphenidate stada|methylphenidate stada"
"532",NA,"Nebivolol","Bystolic","beta-blocker","nebivolol|bystolic"
"533","metyyliprednisoloni","methylpredinosolon","Medrol|Medrol|Solomet|Medrol|Medrol|Medrol|Medrol|Medrol|Solomet|Solu-Medrol|Solu-Medrol|Solu-Medrol",NA,"metyyliprednisoloni|methylpredinosolon|medrol|medrol|solomet|medrol|medrol|medrol|medrol|medrol|solomet|solu-medrol|solu-medrol|solu-medrol"
"534","nebivololi","nebivololi","Hypoloc|Hypoloc|Nebivolol Orion|Nebivolol Orion","beta-blocker","nebivololi|nebivololi|hypoloc|hypoloc|nebivolol orion|nebivolol orion"
"535","propranololi","propranolol","Ranoprin|Ranoprin|Propranolol Accord|Propral|Propral|Propranolol Accord|Ranoprin|Propranolol Accord|Propral|Propral","beta-blocker","propranololi|propranolol|ranoprin|ranoprin|propranolol accord|propral|propral|propranolol accord|ranoprin|propranolol accord|propral|propral"
"536","propranololi","propranolol","Ranoprin|Ranoprin|Propranolol Accord|Propral|Propral|Propranolol Accord|Ranoprin|Propranolol Accord|Propral|Propral","beta-blocker","propranololi|propranolol|ranoprin|ranoprin|propranolol accord|propral|propral|propranolol accord|ranoprin|propranolol accord|propral|propral"
"537",NA,"Propranolol","Inderal","beta-blocker","propranolol|inderal"
"538","timololi","timolol","Blocanol|Oftan Timolol","beta-blocker","timololi|timolol|blocanol|oftan timolol"
"539","timololi, yhdistelmävalmisteet","timolol, combination products","Cosopt|Glaukostad|Ganfort|Ganfort|Ganfort|Xalcom|Xalcom|Oftastad Comp|Duotrav|Duotrav|Duotrav|Travoprost/Timolol STADA|Travoprost/Timolol STADA","beta-blocker","timololi, yhdistelmävalmisteet|timolol, combination products|cosopt|glaukostad|ganfort|ganfort|ganfort|xalcom|xalcom|oftastad comp|duotrav|duotrav|duotrav|travoprost/timolol stada|travoprost/timolol stada"
"540","metronidatsoli","metronidazole","Flagyl|Trikozol|Flagyl|Trikozol|Trikozol|Trikozol|Metronidazol Baxter|Metronidazole Braun|Metronidazol Baxter|Metronidazole Vioser|Metronidazol Baxter|Zidoval|Zidoval|Zidoval|Flagyl|Flagyl|Flagyl",NA,"metronidatsoli|metronidazole|flagyl|trikozol|flagyl|trikozol|trikozol|trikozol|metronidazol baxter|metronidazole braun|metronidazol baxter|metronidazole vioser|metronidazol baxter|zidoval|zidoval|zidoval|flagyl|flagyl|flagyl"
"541","metoprololi ja felodipiini","metoprolol and felodipine","Logimax Forte|Logimax Forte|Logimax Forte|Logimax Forte|Logimax|Logimax|Logimax|Logimax",NA,"metoprololi ja felodipiini|metoprolol and felodipine|logimax forte|logimax forte|logimax forte|logimax forte|logimax|logimax|logimax|logimax"
"542","mikafungiini","micafungin","Mycamine|Mycamine",NA,"mikafungiini|micafungin|mycamine|mycamine"
"543","mikonatsoli","miconazole","Daktarin|Daktarin|Daktarin|Daktarin|Daktarin|Daktarin",NA,"mikonatsoli|miconazole|daktarin|daktarin|daktarin|daktarin|daktarin|daktarin"
"544","midatsolaami","midazolam","Dormicum|Dormicum|Midazolam Hameln|Midazolam Accord|Midazolam Hameln|Midazolam Hameln|Midazolam Hameln|Midazolam Accord|Midazolam Accord|Midazolam Accord|Buccolam|Buccolam|Buccolam|Buccolam",NA,"midatsolaami|midazolam|dormicum|dormicum|midazolam hameln|midazolam accord|midazolam hameln|midazolam hameln|midazolam hameln|midazolam accord|midazolam accord|midazolam accord|buccolam|buccolam|buccolam|buccolam"
"545","midostauriini","midostaurin","Rydapt|Rydapt",NA,"midostauriini|midostaurin|rydapt|rydapt"
"546","mifepristoni","mifepristone","Mifegyne",NA,"mifepristoni|mifepristone|mifegyne"
"547","miglustaatti","miglustat","Zavesca|Miglustat Accord|Miglustat Gen.Orph",NA,"miglustaatti|miglustat|zavesca|miglustat accord|miglustat gen.orph"
"548","milnasipraani","milnacipran","Ixel",NA,"milnasipraani|milnacipran|ixel"
"549","dutasteridi, tamsulosini"," dutasteride, tamsulosin hydrochloride","duodart|avodart",NA,"dutasteridi, tamsulosini| dutasteride, tamsulosin hydrochloride|duodart|avodart"
"550","minoksidiili","minoxidil","Rogaine|Rogaine|Rogaine",NA,"minoksidiili|minoxidil|rogaine|rogaine|rogaine"
"551","mirtatsapiini","mirtazapine","Mirtazapin Ratiopharm|Mirtazapin Ratiopharm|Mirtazapin Actavis|Mirtazapin Actavis|Mirtazapin Krka|Mirtazapin Krka|Mirtazapin Orion|Mirtazapin Orion|Mirtazapin Orion|Mirtazapin Hexal|Mirtazapin Actavis|Mirtazapin Krka|Mirtazapin Orion|Mirtazapin Orion|Mirtazapin Orion|Mirtazapin Krka|Mirtazapin Ratiopharm|Mirtazapin Ratiopharm|Mirtazapin Orion|Mirtazapin Krka|Mirtazapin Krka|Mirtazapin Orion|Mirtazapin Orion|Mirtazapin Orion|Mirtazapin ratiopharm|Mirtazapin ratiopharm",NA,"mirtatsapiini|mirtazapine|mirtazapin ratiopharm|mirtazapin ratiopharm|mirtazapin actavis|mirtazapin actavis|mirtazapin krka|mirtazapin krka|mirtazapin orion|mirtazapin orion|mirtazapin orion|mirtazapin hexal|mirtazapin actavis|mirtazapin krka|mirtazapin orion|mirtazapin orion|mirtazapin orion|mirtazapin krka|mirtazapin ratiopharm|mirtazapin ratiopharm|mirtazapin orion|mirtazapin krka|mirtazapin krka|mirtazapin orion|mirtazapin orion|mirtazapin orion|mirtazapin ratiopharm|mirtazapin ratiopharm"
